LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0003217523-0001-2,MARIA OFELIA NUNEZ,LA CAMPANA HARDWARE,1017 W 88TH STREET,LOS ANGELES,90044-2119,1017 88TH 90044,1017 W 88TH STREET,LOS ANGELES,90044-2119,444130,Hardware stores,0,10/01/2020,,"(33.9581, -118.2926)"
0003211603-0001-0,ONE STOP HOLISTIC HEALTH LLC,,1506 W MANCHESTER AVENUE,LOS ANGELES,90047-5424,1506 MANCHESTER 90047,1506 W MANCHESTER AVENUE,LOS ANGELES,90047-5424,,,8,09/03/2020,,"(33.9597, -118.3028)"
0003252968-0001-1,LIZARRAGA TRANSPORT INC,,9663 CARRON DRIVE,PICO RIVERA,90660-3606,9663 Carron 90660-3606,,,,488000,Support activities for transportation (including motor vehicle towing),0,02/28/2021,,"(33.9803, -118.0841)"
0003249387-0001-0,"CHOE SHOW, LLC",,711 S GRAMERCY PLACE,LOS ANGELES,90005-3166,711 GRAMERCY 90005,711 S GRAMERCY PLACE,LOS ANGELES,90005-3166,,,5,03/15/2021,,"(34.0594, -118.3135)"
0003240128-0001-1,SANTOS ANTONIO RAMOS AJPACAJA,,19948 SATICOY STREET,WINNETKA,91306-2648,19948 Saticoy 91306-2648,,,,561790,Other services to buildings & dwellings,3,01/15/2019,,"(34.2081, -118.5684)"
0003236037-0001-9,ASHLEY-ANN FELIX,,412 W 7TH STREET,SAN PEDRO,90731-3208,412 7TH 90731,465 N HANFORD AVENUE,SAN PEDRO,90732-2621,,,15,03/01/2021,,"(33.738, -118.2861)"
0003206130-0001-6,FRESH AIR HVAC,,7270 FRANKLIN AVENUE APT #105,LOS ANGELES,90046-3057,7270 Franklin 90046-3057,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",4,08/05/2020,,"(34.1031, -118.3485)"
0003227519-0001-2,H2ORGANICS PRODUCTS INC,,1205 W 90TH STREET,LOS ANGELES,90044-2029,1205 90TH,,,,425120,Wholesale trade agents & brokers,0,01/02/2021,,"(33.9562, -118.2963)"
0003213030-0001-2,JESSE LUNA,BUSINESS RESCUE AGENCY,1107 FAIR OAKS AVENUE UNIT #156,SOUTH PASADENA,91030-3311,1107 FAIR OAKS 91030-3311,,,,812990,All other personal services,0,10/01/2020,,"(34.1135, -118.1505)"
0000192992-0001-1,ECT,,137 E 33RD STREET #B,LOS ANGELES,90011-,137 33RD 90011,,,,,,0,08/01/2000,08/16/2001,
0003209539-0001-1,VOODOO MACBETH LLC,,4915 ARGUS DRIVE,LOS ANGELES,90041-2120,4915 Argus 90041-2120,6544 MESA NORTE DRIVE,SAN DIEGO,92130-6854,512100,Motion picture & video industries (except video rental),14,12/24/2018,12/31/2019,"(34.1364, -118.2066)"
0003213686-0001-7,"OMC MELROSE, INC",,5820 MELROSE AVENUE,LOS ANGELES,90038-3709,5820 Melrose 90038-3709,,,,722110,Full-service restaurants,5,09/24/2020,,"(34.0833, -118.3274)"
0003239021-0001-0,CHRISTINA SCAVUZZO,,2396 N ROBINHOOD PLACE,ORANGE,92867-1851,2396 ROBINHOOD 92867,2396 N ROBINHOOD PLACE,ORANGE,92867-1851,711510,"Independent artists, writers, & performers",0,01/07/2020,,"(33.8286, -117.8324)"
